CaseID,Len
42540,1.0
24635,2.0
74846,3.0
43142,3.0
3564,1.0
17839,2.0
48922,2.0
43677,2.0
186424,2.0
13777,3.0
185845,3.0
28196,2.0
185623,2.0
35218,0.0
186195,3.0
43073,2.0
6375,2.0
52969,2.0
75241,2.0
59580,2.0
64563,0.0
42112,2.0
185681,2.0
25985,0.0
67291,2.0
47657,0.0
35889,2.0
58807,2.0
71249,2.0
185795,0.0
74017,2.0
49635,2.0
26280,0.0
62556,2.0
72939,2.0
69229,2.0
847,2.0
62711,2.0
47689,2.0
83606,2.0
25691,2.0
83110,2.0
80420,2.0
66704,2.0
57866,2.0
185703,0.0
7161,2.0
26133,2.0
3333,3.0
22785,0.0
22449,2.0
15185,0.0
48583,2.0
65189,2.0
28766,3.0
186081,3.0
75287,0.0
23771,3.0
70147,2.0
49080,0.0
10392,2.0
47327,1.0
49261,3.0
67135,0.0
49204,2.0
22787,0.0
45494,2.0
186534,0.0
6468,2.0
80380,0.0
84481,0.0
7760,0.0
8455,3.0
22759,0.0
85844,3.0
34088,3.0
77547,0.0
7755,2.0
49941,0.0
18910,2.0
72883,2.0
78971,2.0
55896,4.0
24074,4.0
60249,2.0
25809,2.0
45032,2.0
40900,0.0
14417,2.0
25565,2.0
66464,2.0
80027,2.0
185364,2.0
9428,2.0
63630,2.0
54920,2.0
58541,2.0
186595,2.0
84705,2.0
75959,0.0
1211,0.0
78122,2.0
29368,2.0
6653,3.0
23207,2.0
72357,3.0
59225,3.0
3596,2.0
16483,2.0
62337,0.0
2310,2.0
37237,0.0
20815,2.0
11058,2.0
7619,2.0
49817,0.0
47726,2.0
79185,2.0
48821,1.0
66917,2.0
66081,0.0
65933,0.0
63149,2.0
82100,2.0
33948,0.0
4541,2.0
186186,2.0
18445,3.0
43402,0.0
53701,2.0
52043,2.0
66124,2.0
44132,2.0
75369,2.0
38853,2.0
185487,0.0
55528,2.0
78928,2.0
186291,2.0
185585,3.0
78838,3.0
62674,2.0
62782,3.0
185457,2.0
62281,3.0
69521,2.0
58605,2.0
71444,2.0
61026,3.0
53144,2.0
85286,2.0
84021,2.0
22800,2.0
18272,2.0
84197,2.0
43536,1.0
28812,2.0
24070,2.0
59621,3.0
54922,3.0
75337,3.0
65918,2.0
21910,0.0
185676,0.0
29637,2.0
42623,2.0
23619,0.0
74209,2.0
60344,2.0
29025,2.0
27387,2.0
185432,2.0
186461,2.0
185653,0.0
2658,3.0
53673,2.0
49849,2.0
2778,2.0
63168,2.0
54806,2.0
81820,3.0
67762,3.0
13795,3.0
11614,2.0
15285,0.0
185408,2.0
186524,2.0
66407,2.0
6108,0.0
78305,2.0
85564,2.0
30152,2.0
25966,0.0
66537,2.0
9355,2.0
38157,3.0
52289,0.0
11487,2.0
58718,0.0
19437,1.0
186247,2.0
13881,2.0
6836,2.0
186028,0.0
67744,2.0
79206,0.0
62156,2.0
41820,2.0
186601,2.0
75556,2.0
21589,0.0
72006,0.0
9993,0.0
185868,2.0
54321,2.0
9258,3.0
63297,2.0
67742,3.0
83262,0.0
64775,3.0
6487,0.0
186181,2.0
85874,0.0
185342,2.0
1000,1.0
37569,2.0
19730,3.0
63873,2.0
26911,2.0
82377,1.0
5514,2.0
25683,0.0
58002,2.0
58335,0.0
71227,3.0
71737,3.0
21827,2.0
36489,0.0
185617,2.0
71251,0.0
32184,0.0
56409,2.0
63337,2.0
598,2.0
2719,3.0
70361,2.0
47248,3.0
185802,0.0
70357,2.0
32900,3.0
27216,1.0
186366,0.0
41567,2.0
68010,2.0
64339,0.0
47323,1.0
2781,0.0
54808,2.0
42350,2.0
41665,0.0
72081,2.0
79930,2.0
6321,2.0
21861,2.0
64734,2.0
25592,2.0
31980,3.0
73358,2.0
62318,2.0
42086,2.0
33299,0.0
70645,2.0
65059,2.0
69172,2.0
48948,2.0
185725,0.0
58896,1.0
6465,3.0
36520,3.0
22663,2.0
23222,2.0
59649,0.0
57636,3.0
186210,2.0
41817,2.0
58061,2.0
49713,2.0
186499,2.0
10438,2.0
2576,0.0
52701,0.0
67669,3.0
40728,2.0
57246,2.0
15751,0.0
84709,2.0
24822,2.0
71919,0.0
74579,0.0
8798,0.0
28102,2.0
46688,2.0
17267,3.0
71277,3.0
31140,2.0
28198,0.0
62026,0.0
54133,0.0
22666,3.0
54520,2.0
37408,2.0
185900,2.0
73897,2.0
62403,3.0
185360,2.0
74547,2.0
82505,0.0
185438,2.0
20584,2.0
24466,2.0
41939,2.0
63554,0.0
68174,2.0
54740,2.0
74388,0.0
40861,2.0
71150,2.0
14499,2.0
36892,2.0
39896,2.0
58659,2.0
58641,2.0
67474,0.0
6319,2.0
15505,2.0
186166,2.0
2247,2.0
78401,3.0
186070,2.0
724,2.0
13918,2.0
49910,2.0
74097,0.0
66882,2.0
26751,2.0
45922,2.0
7613,3.0
21587,2.0
542,3.0
5079,2.0
185508,0.0
66885,0.0
30419,3.0
186434,3.0
64566,0.0
24156,3.0
85446,3.0
55854,3.0
13956,2.0
9590,2.0
7163,2.0
6936,0.0
76934,2.0
185906,2.0
76484,2.0
185945,2.0
74133,0.0
186386,0.0
661,0.0
57052,2.0
185890,2.0
83062,2.0
86495,3.0
35281,2.0
58253,0.0
14916,3.0
40814,2.0
78284,2.0
25316,2.0
38115,2.0
186171,2.0
83933,0.0
58298,0.0
8500,0.0
67131,2.0
186361,2.0
84649,3.0
57756,0.0
12204,2.0
65570,2.0
45983,2.0
58960,3.0
22400,2.0
67777,3.0
62186,2.0
77824,3.0
46989,3.0
185768,3.0
31200,2.0
72156,2.0
19180,3.0
82482,2.0
35728,2.0
2738,2.0
186317,2.0
26861,2.0
2283,2.0
3938,3.0
71780,3.0
32215,0.0
25948,2.0
8142,0.0
74521,2.0
46843,2.0
71635,2.0
78579,2.0
16904,0.0
185346,3.0
80672,3.0
59305,3.0
