SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5370258880192655
2;227;0.5373160173160173
3;218;0.5330201713180436
4;213;0.5344728800611153
5;207;0.5363636363636363
6;200;0.5388026607538802
7;200;0.5388026607538802
8;198;0.5454545454545454
9;198;0.5454545454545454
10;198;0.5454545454545454
11;195;0.5466101694915254
12;195;0.5466101694915254
13;194;0.5470085470085471
14;192;0.5474137931034483
15;192;0.5474137931034483
16;192;0.5474137931034483
17;192;0.5474137931034483
18;192;0.5474137931034483
19;191;0.5478260869565217
20;191;0.5478260869565217
21;191;0.5478260869565217
22;190;0.5482456140350878
23;190;0.5482456140350878
24;189;0.5482456140350878
25;189;0.5482456140350878
26;189;0.5482456140350878
27;185;0.5442477876106194
28;184;0.5446428571428571
29;182;0.5454545454545454
30;182;0.5454545454545454
31;178;0.5412844036697247
32;175;0.5424528301886793
33;172;0.5424528301886793
34;170;0.5428571428571428
35;168;0.5428571428571428
36;165;0.5436893203883495
37;160;0.5454545454545454
38;159;0.5459183673469388
39;157;0.546875
40;157;0.546875
ROC_AUC_SCORE weighted;0.5441911455100533;
F1_SCORE weighted;0.0;
